Name,Price,Old Price,Discount
"Кефир Молочный знак 3.2%, 430г",47.99,,
"Кефир Асеньевская Ферма 1%, 900мл",114.99,,
"Биолакт Тёма сладкий с 8 месяцев 3.2%, 208г",47.99,,
"Кефир Молочный Знак 3.2%, 900мл",84.9,,
"Кефир Зелёная Линия 2.5% ПЭТ, 900г",79.99,,
"Кефир Ближние Горки 3.2%, 950г",89.9,,
"Бифилайф Зелёная линия яблоко-банан с 8 месяцев 2.5%, 210г",43.99,,
"Кефир Асеньевская Ферма 3.2%, 450мл",67.99,,
"Кефир Из Молока Нашей Дойки 3.2-4%, 930г",109.99,,
"Кефир Зелёная Линия 3.2%, 900г",81.99,,
"Кефир Рузское Молоко Рузский 3.2-4%, 1кг",149.99,,
"Кефир Искренне Ваш 3.2%, 930г",95.99,,
"Кефир Славянские Кружева 3.2%, 175г",29.99,,
"Кефир Зелёная Линия органический 3.2%, 470г",65.99,,
"Бифилайф Зелёная линия малина-шиповник с 8 месяцев 2.5%, 210г",43.99,,
"Ряженка Простоквашино 3.2%, 930г",114.99,,
"Бифилайф Зелёная линия черничное с 8 месяцев 2.5%, 210г",43.99,,
"Кефир Зелёная Линия термостатный 3.2%, 450г",95.99,,
"Кефир Б.Ю.Александров 3.2-4%, 500г",139.99,,
"Напиток кисломолочный Actimel гранат 2.5%, 100г",39.99,,
"Кефир Асеньевская Ферма 1%, 450мл",65.99,,
"Напиток кисломолочный Actimel клубника 2.5%, 100г",39.99,,
"Кефир Рузское Молоко маложирный 2.5%, 1л",169.99,,
"Напиток кисломолочный Actimel черника-ежевика 2.5%, 100г",39.99,,
"Напиток кисломолочный Actimel Мультивитамины обогащённый ягодный микс 2.5%, 100г",39.99,,
"Бифилайф Зелёная линия облепиха-абрикос с 8 месяцев 2.5%, 210г",43.99,,
"Напиток кисломолочный Actimel натуральный 2.6%, 100г",39.99,,
"Напиток кисломолочный Actimel земляника-шиповник 2.5%, 100г",39.99,,
"Напиток кисломолочный Actimel виноград-клубника-малина 2.2%, 95г",39.99,,
"Напиток кисломолочный Exponenta High-Pro манго-жасмин обезжиренный, 250г",89.99,114.99,22.0
"Напиток кисломолочный Actimel обогащённый виноград-персик-ананас 2.2%, 95г",39.99,,
"Напиток кисломолочный Exponenta High-Pro кокос-миндаль обезжиренный, 250г",89.99,114.99,22.0
"Свинина Перекрёсток для шашлыка, кг",329.9,,
"Окорок свиной Перекрёсток задний, кг",359.0,,
"Шашлык Перекрёсток любительский охлаждённый, кг",259.99,329.99,21.0
"Шашлык из свинины, кг",289.9,,
"Грудинка свиная Перекрёсток, кг",249.99,,
"Вырезка свиная Перекрёсток, кг",469.0,,
"Шашлык Перекрёсток по-московски охлаждённый, кг",349.99,,
"Гуляш из свинины Перекрёсток без кости, кг",329.9,,
"Шейка свиная Перекрёсток без кости, кг",389.99,469.0,17.0
"Стейк свиной Мираторг из шейки, 400г",329.99,,
"Шашлык из свиной шейки Перекрёсток охлаждённый, кг",499.99,,
"Рёбрышки свиные Черкизово из корейки категории Б охлаждённые, кг",509.0,,
"Вырезка свиная Черкизово категории А охлаждённая, кг",579.99,,
"Окорок свиной Слово Мясника без кости категории А охлаждённый, 800г",339.99,,
"Плов со свининой Шеф Перекрёсток, 250г",199.99,,
"Фарш Ближние Горки деревенский охлаждённый категория В, 400г",119.99,184.99,35.0
"Бекон из свинины Ближние Горки для жарки охлаждённый, 260г",139.99,,
