Lon,Lat,Cafe,Delivery,Catalog,Pickup
60.634081,56.856314,False,False,True,False
60.640576,56.852381,False,True,True,True
61.321445,56.797013,False,True,True,True
60.649765,56.82373,False,False,True,False
60.644591,56.86182,False,True,True,False
60.64902,56.788549,True,True,True,True
60.6158,56.836204,False,True,True,True
60.610383,56.804712,False,True,True,True
60.615072,56.804949,False,True,True,True
60.570229,56.746065,False,True,True,True
60.599262,56.808088,False,True,True,True
60.492749,56.800055,False,False,True,False
60.660554,56.860063,False,True,True,True
60.48231,56.788855,False,True,True,True
60.596343,56.776142,False,False,True,False
60.580936,56.79585,True,True,True,True
60.612324,56.806905,False,False,True,False
60.264173,56.505167,False,True,True,True
56.25889,58.016405,False,True,True,True
56.267954,58.001957,False,True,True,True
56.309007,58.006173,False,True,True,True
56.234869,58.007456,False,True,True,True
56.257093,58.004781,False,False,True,False
56.294724,58.026686,False,True,True,True
56.209231,57.993262,False,True,True,True
56.288418,57.996024,False,True,True,True
73.400605,61.250331,False,True,True,True
73.418221,61.24818,False,True,True,True
73.361061,61.270205,False,True,True,True
73.3821,61.269314,False,True,True,True
73.43343,61.253944,False,True,True,True
73.447075,61.237666,False,True,True,True
76.597853,60.939607,False,True,True,True
69.038332,60.965884,False,True,True,True
69.040282,61.006342,False,True,True,True
65.57724,57.118652,False,True,True,True
65.567179,57.152384,False,True,True,True
68.274881,58.229178,True,False,True,False
65.541946,57.146051,True,True,True,True
65.482486,57.159633,False,True,True,True
65.493796,57.135043,False,True,True,True
65.51293,57.119918,False,False,True,False
65.659257,57.146979,False,True,True,True
65.591065,57.106531,False,True,True,True
65.562804,57.123451,False,True,True,True
65.571374,57.113726,False,True,True,True
65.559867,57.148849,True,True,True,True
61.347882,55.177853,False,True,True,True
58.973222,53.430384,False,True,True,True
61.387866,55.160612,False,True,True,True
58.97677,53.358056,False,True,True,True
58.975387,53.396984,False,True,True,True
61.281506,55.191772,False,True,True,True
61.369675,55.157114,False,False,True,False
37.967224,55.820223,False,True,True,True
37.841388,55.809145,False,False,True,False
37.875631,55.822539,False,True,True,True
38.001396,55.923942,False,False,True,False
37.99676,55.91631,False,True,True,True
37.877949,55.784496,False,False,True,False
37.955456,55.825487,False,True,True,True
37.943167,55.808108,False,True,True,True
37.821301,55.772639,True,True,True,True
37.817717,55.745478,False,True,True,True
37.744936,55.649063,False,True,True,True
37.758814,55.649916,False,True,True,True
37.752984,55.659744,False,True,True,True
37.742223,55.652314,False,True,True,True
37.749661,55.659647,False,True,True,True
37.718175,55.645908,False,True,True,True
37.723681,55.675123,False,True,True,True
37.722855,55.682483,False,True,True,True
37.765399,55.677336,False,True,True,True
37.758204,55.639959,False,True,True,True
38.226657,55.565804,False,False,True,False
38.251379,55.588099,False,True,True,True
38.763975,55.095678,False,True,True,True
38.804948,55.084126,False,True,True,True
38.441471,55.855906,False,True,True,True
38.987386,55.807992,False,True,True,True
38.445325,55.774902,False,True,True,True
38.430269,55.81299,False,False,True,False
38.173872,55.818447,False,True,True,True
37.784066,55.718187,False,True,True,False
37.779027,55.719105,False,False,True,False
37.747262,55.67061,False,True,True,True
37.765552,55.654533,False,True,True,True
37.7585,55.654228,False,True,True,True
37.792331,55.703226,False,True,True,False
37.812022,55.710758,False,True,True,True
37.822074,55.720372,False,True,True,True
37.825155,55.724124,False,True,True,True
37.820322,55.750824,False,True,True,True
37.819307,55.752784,False,True,True,True
37.797442,55.745275,False,True,True,True
37.762516,55.724814,False,True,True,True
37.86257,55.685259,False,True,True,True
37.889456,55.679854,False,True,True,True
37.8964,55.692115,False,True,True,True
37.85347,55.681859,False,True,True,True
38.082082,55.604595,False,False,True,False
38.092628,55.607809,False,False,True,False
37.877527,55.685132,False,True,True,True
37.871373,55.669894,False,True,True,True
37.846032,55.699599,False,True,True,True
37.853955,55.685919,True,True,True,True
37.697612,55.730912,False,False,False,False
37.787084,55.720859,False,True,True,True
37.741064,55.699294,False,True,True,True
37.765785,55.704098,False,True,True,True
37.676403,55.728494,False,True,True,True
37.681973,55.755925,False,True,True,True
37.7024286,55.7525141,False,True,True,True
37.745699,55.716585,False,True,True,True
37.752365,55.699999,False,True,True,True
38.24686,55.417102,True,True,True,True
37.752526,55.789558,True,True,True,True
37.789007,55.816252,False,True,True,True
37.774715,55.798449,False,False,True,False
37.787111,55.792265,True,True,True,True
37.757979,55.802786,False,True,True,True
37.783734,55.794963,False,True,True,True
37.823358,55.822493,False,True,True,True
37.738045,55.815413,False,True,True,False
37.710063,55.800423,False,True,True,True
37.718076,55.760874,False,True,True,False
37.952437,55.75168,False,False,True,False
37.8593,55.751923,False,True,True,True
37.862139,55.747155,False,True,True,True
37.874464,55.743928,False,True,True,True
37.857036,55.737796,False,True,True,True
37.856668,55.734278,False,False,True,False
37.960396,55.747834,False,False,True,False
38.006821,55.750282,False,True,True,True
38.017565,55.740958,False,True,True,True
37.873628,55.752014,False,True,True,True
37.851763,55.757516,False,True,True,True
37.828757,55.767094,False,True,True,True
37.12853,55.810567,False,False,True,False
36.988258,55.61627,False,False,True,False
36.797384,55.858256,False,False,True,False
36.868243,55.91458,False,True,True,True
36.857678,55.730796,False,True,True,True
37.044321,55.601437,False,False,True,False
37.127991,55.861237,False,True,True,True
37.071765,55.814452,False,False,True,False
35.957917,56.031181,False,True,True,True
37.037144,55.887746,False,False,True,False
37.000843,55.525395,False,False,True,False
37.482978,55.56643,False,True,True,True
36.03102,55.499832,False,True,True,True
36.764478,55.371746,False,True,True,True
37.149361,55.57775,False,False,True,False
37.296488,55.468111,False,True,True,True
37.321326,55.492661,False,True,True,True
37.366062,55.591538,False,False,True,False
37.44462,55.634029,False,False,True,False
37.361912,55.814426,False,True,True,True
37.369781,55.821962,False,True,True,True
37.354393,55.835468,False,False,True,False
37.346739,55.818877,False,False,True,False
37.320239,55.819454,False,True,True,True
37.347853,55.851702,False,True,True,True
37.35795,55.846082,False,True,True,True
37.365191,55.843318,False,True,True,True
37.384352,55.904766,False,True,True,True
37.406522,55.806752,False,True,True,True
37.481361,55.779818,False,True,True,True
37.414418,55.805513,False,True,True,True
37.396793,55.805771,False,True,True,True
37.39613,55.80047,True,True,True,True
37.4093312,55.7583766,False,True,True,True
37.420392,55.718517,False,True,True,True
37.402749,55.755414,False,True,True,True
37.494521,55.769135,False,False,True,False
37.47916,55.70538,False,True,True,False
37.020956,55.706386,True,False,True,False
37.171613,55.72347,False,False,True,False
37.160438,55.706031,False,False,True,False
37.235681,55.657393,False,True,True,True
37.211507,55.632626,False,False,True,False
37.153934,55.678879,False,False,True,False
37.267921,55.678529,False,True,True,True
37.026364,55.705255,False,False,True,False
37.30583,55.68667,False,True,True,True
37.733814,55.356918,False,True,True,True
37.303414,55.663451,False,True,True,True
37.331441,55.694408,False,True,True,True
37.202398,55.659246,False,True,True,True
37.488404,55.619777,False,True,True,True
37.484667,55.655468,False,True,True,False
37.474507,55.630223,False,True,True,True
37.508804,55.665268,False,True,True,False
37.4918357,55.6947177,False,True,True,True
37.498402,55.695677,False,True,True,True
37.448249,55.669239,False,True,True,False
37.4909733,55.683805,False,True,True,False
37.495994,55.6935,False,True,True,True
37.485718,55.680986,False,True,True,False
37.512964,55.703545,False,True,True,False
37.469171,55.650236,False,False,True,False
37.401905,55.658794,False,True,True,True
37.359801,55.641199,False,True,True,True
37.348392,55.636524,False,True,True,True
37.391107,55.643053,False,True,True,True
37.469216,55.664436,False,True,True,False
37.453531,55.668975,False,True,True,False
37.480993,55.663019,False,True,True,False
37.341592,55.639756,False,True,True,True
37.307142,55.625948,False,True,True,True
37.411741,55.647041,False,True,True,True
37.585161,55.898906,True,True,True,True
37.588674,55.888296,False,True,True,True
37.602166,55.88557,False,True,True,False
37.606514,55.883742,False,True,True,False
37.585619,55.901955,False,True,True,True
37.600594,55.893612,False,True,True,True
37.537678,55.88988,False,True,True,True
37.559308,55.888856,False,True,True,True
