Должность,Мин З/П,Макс З/П,Адрес
Администратор магазина,53891,69959,"127299, г Москва, ул Большая Академическая, д 24"
Администратор магазина,49600,71400,"111672, г Москва, ул Салтыковская, д 31"
Администратор магазина,49600,71400,"115407, г Москва, ул Якорная, д 7"
Администратор магазина,48992,65060,"127642, г Москва, проезд Дежнёва, д 2Б"
Администратор магазина,53891,69959,"127247, г Москва, Бескудниковский б-р, д 40"
Администратор магазина,53891,69959,"127204, г Москва, ул Арсюкова, д 5А"
Администратор магазина,49600,71400,"111675, г Москва, ул Лухмановская, д 17А"
Администратор магазина,49600,71400,"111020, г Москва, ул Боровая, д 16"
Администратор магазина,48992,62024,"121357, г Москва, ул Инициативная, д 5"
Администратор магазина,49033,65213,"108827, г Москва, ул Евгения Родионова, д 1"
Администратор магазина,49600,71400,"111539, г Москва, ул Вешняковская, д 17Б"
Администратор магазина,53000,66200,"105275, г Москва, ул Соколиной Горы 5-я, д 25А"
Администратор магазина,52500,65500,"105187, г Москва, 2-й Вольный пер, д 11"
Администратор магазина,48992,65060,"129090, г Москва, ул Троицкая, д 10"
Администратор магазина,49600,71400,"111558, г Москва, Свободный пр-кт, д 8"
Администратор магазина,48992,62024,"119618, г Москва, ул 50 лет Октября, д 7"
Администратор магазина,53891,69959,"125581, г Москва, ул Ляпидевского, д 8"
Администратор магазина,48000,65000,"117452, г Москва, Симферопольский б-р, д 25"
Администратор магазина,48000,65000,"109341, г Москва, ул Перерва, д 54"
Администратор магазина,48992,62024,"119634, г Москва, Боровское шоссе, д 30"
Администратор магазина,48992,62024,"121609, г Москва, Рублёвское шоссе, д 30"
Администратор магазина,48000,65000,"117041, г Москва, ул Адмирала Руднева, д 4"
Администратор магазина,53891,69959,"125466, г Москва, ул Соколово-Мещерская, д 25"
Администратор магазина,48992,62024,"121614, г Москва, ул Крылатская, д 33"
Администратор магазина,48992,62024,"121433, г Москва, ул Малая Филёвская, д 14А"
Администратор магазина,48992,62024,"121614, г Москва, ул Осенняя, д 24"
Администратор магазина,48000,65000,"115114, г Москва, ул Дербеневская, д 24"
Администратор магазина,48992,62024,"117449, г Москва, ул Новочерёмушкинская, д 10"
